kode_kab,kab/kota,Week,Date,Confirmed,Recovered,Deaths,Active
3201,Kabupaten Bogor,1,14/03/20,1,0,0,1
3201,Kabupaten Bogor,2,21/03/20,5,0,0,5
3201,Kabupaten Bogor,3,28/03/20,7,1,0,6
3201,Kabupaten Bogor,4,04/04/20,27,1,1,25
3201,Kabupaten Bogor,5,11/04/20,41,2,3,36
3201,Kabupaten Bogor,6,18/04/20,60,5,3,52
3201,Kabupaten Bogor,7,25/04/20,84,5,4,75
3201,Kabupaten Bogor,8,02/05/20,87,6,4,77
3201,Kabupaten Bogor,9,09/05/20,99,6,4,89
3201,Kabupaten Bogor,10,16/05/20,122,17,7,98
3201,Kabupaten Bogor,11,23/05/20,164,19,8,137
3201,Kabupaten Bogor,12,30/05/20,187,19,8,160
3201,Kabupaten Bogor,13,06/06/20,196,21,8,167
3201,Kabupaten Bogor,14,13/06/20,242,48,8,186
3201,Kabupaten Bogor,15,20/06/20,259,52,8,199
3201,Kabupaten Bogor,16,27/06/20,281,52,8,221
3201,Kabupaten Bogor,17,04/07/20,308,53,8,247
3201,Kabupaten Bogor,18,11/07/20,333,53,8,272
3201,Kabupaten Bogor,19,18/07/20,373,113,9,251
3201,Kabupaten Bogor,20,25/07/20,410,166,11,233
3201,Kabupaten Bogor,21,01/08/20,493,176,11,306
3201,Kabupaten Bogor,22,08/08/20,550,177,11,362
3201,Kabupaten Bogor,23,15/08/20,593,214,11,368
3201,Kabupaten Bogor,24,22/08/20,634,220,16,398
3201,Kabupaten Bogor,25,29/08/20,743,246,16,481
3201,Kabupaten Bogor,26,05/09/20,848,246,16,586
3201,Kabupaten Bogor,27,12/09/20,980,268,16,696
3201,Kabupaten Bogor,28,19/09/20,1177,461,16,700
3201,Kabupaten Bogor,29,26/09/20,1578,632,16,930
3201,Kabupaten Bogor,30,03/10/20,1925,632,16,1277
3201,Kabupaten Bogor,31,10/10/20,2298,838,16,1444
3201,Kabupaten Bogor,32,17/10/20,2613,1158,16,1439
3201,Kabupaten Bogor,33,24/10/20,2944,1561,16,1367
3201,Kabupaten Bogor,34,31/10/20,3250,1971,16,1263
3201,Kabupaten Bogor,35,07/11/20,3591,2428,16,1147
3201,Kabupaten Bogor,36,14/11/20,3925,2886,16,1023
3201,Kabupaten Bogor,37,21/11/20,3943,3488,16,439
3201,Kabupaten Bogor,38,28/11/20,3945,3873,16,56
3201,Kabupaten Bogor,39,05/12/20,3965,3926,16,23
3201,Kabupaten Bogor,40,12/12/20,3992,3938,16,38
3201,Kabupaten Bogor,41,19/12/20,4231,3950,16,265
3201,Kabupaten Bogor,42,26/12/20,4274,4136,16,122
3201,Kabupaten Bogor,43,02/01/21,4295,4239,16,40
3201,Kabupaten Bogor,44,09/01/21,4310,4278,16,16
,,,,,,,,,,,,,,,
3202,Kabupaten Sukabumi,1,28/03/20,1,1,0,0
